"ID_MICRO";"NOME_MICRO";"COD_UF";"SIGLA_UF";"X1";"X2";"X3";"X4";"X5";"W1";"POP";"total_cases_observed_y";"incidence_observed";"total_cases_corrected_t";"incidence_corrected";"epsilon_posterior_mean";"theta_posterior_mean";"phi_posterior_mean";"delta_posterior_mean";"gamma_posterior_mean";"PROP_GRAU2";"CONT_EXAM";"COB_BOLSAF";"COB_PSF";"MED_MORA_DOM";"URBANISATION"
"11007";"VILHENA11";"11";"RO";9,49859;0,71352;-11,30491;-0,15104;10,79685;-3,65369;1233864;666;53,97678;738;59,92245;0,9097;739,3615;1,3599;-0,09;-0,058;6,18238;95,47739;94,02289;59,45491;3,2502;82,75737
"11001";"PORTOVELHO11";"11";"RO";-13,54478;2,27428;-26,61816;-0,00967;12,14612;-1,52081;4981934;1450;29,10516;1646;33,06889;0,8916;1647,4705;1,0477;-0,1759;-0,1443;8,31526;72,43402;95,58365;44,14166;3,39157;84,10664
"11004";"JIPARAN√11";"11";"RO";0,34468;-2,07988;-15,37686;-0,12997;-3,28527;-6,58358;2709280;1859;68,61602;2012;74,27099;0,928;2012,2091;1,7054;-0,0064;0,0024;3,25248;86,32347;91,2295;55,38296;3,27127;68,67525
"11002";"GUAJAR√MIRIM11";"11";"RO";4,38756;4,2847;-20,32073;0,13576;-0,5976;-1,53731;671257;252;37,54151;284;42,56681;0,8965;285,7327;1,2183;-0,1214;-0,0958;8,29876;90,36635;97,59407;50,43909;3,537;71,36292
"11008";"COLORADODOOESTE11";"11";"RO";0,50189;-13,95881;-1,22651;-0,28574;-6,61949;-1,92646;481348;202;41,96548;224;46,70438;0,9074;224,8106;1,3915;-0,0343;-0,0028;7,9096;86,48069;79,35056;69,5333;3,1155;65,34103
"11006";"CACOAL11";"11";"RO";8,56632;-4,40974;-10,87779;-0,14736;-5,46314;-2,64428;2104418;1793;85,2017;1964;93,32376;0,9177;1963,922;1,8134;0,0911;0,0706;7,19178;94,54511;88,89963;59,88202;3,25389;66,49738
"11003";"ARIQUEMES11";"11";"RO";-2,09169;-1,62524;-16,19707;-0,09996;-4,99295;-1,21019;1599445;1051;65,71029;1162;72,51135;0,9101;1159,7792;1,6633;0,0451;0,0403;8,62588;83,8871;91,68413;54,56275;3,30129;66,96757
"11005";"ALVORADADOESTE11";"11";"RO";10,1929;-2,19993;-21,69252;-0,10399;-29,11457;-6,75165;643496;626;97,2811;675;104,41523;0,9316;671,9078;2,0363;0,1168;0,0639;3,08442;96,17169;91,10944;49,0673;3,29725;42,84595
"12002";"TARAUAC√12";"12";"AC";3,68107;4,60433;-8,94041;1,31542;-20,66056;-7,32034;674077;161;23,88451;175;26,06259;0,9271;175,6819;1,2501;-0,0838;-0,0304;2,51572;89,65986;97,9137;61,81941;4,71667;51,29996
"12003";"SENAMADUREIRA12";"12";"AC";-12,24521;6,03952;0,2021;1,18976;-8,28919;-2,19275;460926;168;36,44837;184;39,85907;0,9151;183,7208;1,4901;0,0679;0,0605;7,64331;73,73358;99,34889;70,96191;4,591;63,67133
"12004";"RIOBRANCO12";"12";"AC";-6,60909;3,30634;-14,60637;0,1779;11,06727;-5,20096;3768358;1037;27,51862;1148;30,51739;0,9121;1150,0044;0,9769;-0,1801;-0,0983;4,63511;79,3697;96,61571;56,15345;3,57914;83,02779
"12001";"CRUZEIRODOSUL12";"12";"AC";-10,2015;0,98707;2,33069;1,25036;-14,4091;-4,28051;1199976;329;27,41722;359;29,89727;0,9204;358,7601;1,3466;0,0429;0,0289;5,55556;75,7773;94,29644;73,0905;4,6516;57,55142
"12005";"BRASIL√IA12";"12";"AC";-13,89399;0,6248;0,99183;0,17251;-5,63877;-4,54195;532050;183;34,39526;200;37,68266;0,9196;200,4906;1,1982;0,0065;-0,002;5,29412;72,08481;93,93417;71,75165;3,57375;66,32175
"13005";"TEF√13";"13";"AM";-7,52351;6,36878;-2,63462;1,84409;2,09818;-1,5716;797784;124;15,54305;139;17,51958;0,9016;139,7684;0,9535;-0,093;-0,056;8,26446;78,45528;99,67815;68,1252;5,24533;74,0587
"13008";"RIOPRETODAEVA13";"13";"AM";-22,88731;2,19674;8,82806;0,48776;-24,30672;0;501582;142;28,31043;158;31,50751;0,9022;158,036;1,2697;0,0369;0,0336;9,83607;63,09148;95,50611;79,58787;3,889;47,6538
"13001";"RIONEGRO13";"13";"AM";3,66878;0,45952;-28,6946;2,07851;-23,6971;1,52757;916209;107;11,67856;123;13,56083;0,8839;124,2455;0,9892;-0,1207;-0,0713;11,36364;89,64758;93,76889;42,06522;5,47975;48,26342
"13012";"PURUS13";"13";"AM";4,8509;5,84693;1,71638;1,07409;-12,25196;10,48914;646893;251;38,80085;299;46,07419;0,8497;298,0507;1,4562;0,1027;0,1104;20,3252;90,82969;99,1563;72,4762;4,47533;59,70856
"13010";"PARINTINS13";"13";"AM";-10,62043;6,6119;-4,16486;1,68561;-14,8936;-2,54744;2248861;373;16,58617;418;18,67625;0,9018;420,003;1,1686;-0,1644;-0,0958;7,28863;75,35836;99,92127;66,59496;5,08686;57,06692
"13007";"MANAUS13";"13";"AM";-17,04511;3,71444;-30,40137;0,90747;21,85621;-1,50273;18845657;2841;15,07509;3231;17,15754;0,8908;3233,4513;0,7167;-0,2283;-0,1473;8,33333;68,93368;97,02381;40,35845;4,30871;93,81673
"13013";"MADEIRA13";"13";"AM";-4,68607;3,2053;-14,66801;1,23876;-17,66173;-1,59637;1523126;571;37,48869;630;41,29728;0,9118;629,0096;1,5985;0,0661;0,045;8,2397;81,29273;96,51467;56,09181;4,64;54,29879
"13004";"JURU√13";"13";"AM";0,662;5,69365;-9,08527;1,74247;-9,73986;-1,10043;1184211;470;39,68887;517;43,50872;0,9136;515,2351;1,5974;0,1709;0,1028;8,73563;86,6408;99,00302;61,67455;5,14371;62,22066
"13002";"JAPUR√13";"13";"AM";-2,76711;0,35841;-33,11045;2,54976;-23,47336;2,16393;214992;28;13,02374;32;14,41942;0,891;31,0006;1,0898;0,0508;0,0304;12;83,21168;93,66778;37,64936;5,951;48,48717
"13009";"ITACOATIARA13";"13";"AM";-5,66991;6,0893;17,02685;1,45696;-10,97727;-2,29838;1428616;415;29,04909;457;31,99118;0,9129;457,0311;1,3453;0,0525;0,0375;7,53769;80,30888;99,39867;87,78667;4,8582;60,98325
